text,mood
"I am worried about my upcoming presentation",stressed
"I feel stressed because I have a lot of work today",stressed
"I cannot relax because I have so much work",stressed
"I feel anxious and overwhelmed",stressed
"I am under pressure at work",stressed
"I am worried about completing my assignment",stressed
"I feel nervous before my exam",stressed
"I have been stressed all day",stressed
"I feel overwhelmed by everything happening",stressed
"I am worried that I will fail",stressed
"I feel pressure from my studies",stressed
"I am stressed about my project deadline",stressed
"I feel anxious about making a mistake",stressed
"I have too much on my mind",stressed
"I feel mentally exhausted because of pressure",stressed
"I am nervous about the interview",stressed
"I feel stressed when I think about work",stressed
"I am worried about my responsibilities",stressed
"I cannot handle all these deadlines",stressed
"I feel tense and worried",stressed
"I am anxious about tomorrow's meeting",stressed
"I feel overloaded with tasks",stressed
"I am stressed about my studies",stressed
"I feel pressure from my family",stressed
"I am worried about my future plans",stressed
"I feel overwhelmed with assignments",stressed
"I am nervous and stressed",stressed
"I have too much work to do",stressed
"I feel anxious because of my workload",stressed
"I am under pressure today",stressed
"I cannot stop thinking about my problems",stressed
"I feel stressed and overwhelmed",stressed

"I am very tired today",tired
"I feel exhausted",tired
"I am completely exhausted after work",tired
"I have no energy today",tired
"I feel sleepy",tired
"I need to rest",tired
"I am feeling drained",tired
"I am physically exhausted",tired
"I feel tired after studying",tired
"I need some sleep",tired
"I feel weak and low on energy",tired
"I am exhausted from a long day",tired
"I feel sleepy all the time",tired
"I have no energy left",tired
"I am worn out",tired
"I feel fatigued today",tired
"I need a break because I am tired",tired
"I am too tired to do anything",tired
"I feel exhausted after traveling",tired
"I need to sleep early tonight",tired
"I am feeling tired and need some rest",tired
"I feel completely drained",tired
"I am exhausted from work",tired
"I have been working all day and I am tired",tired
"I feel sleepy after lunch",tired
"I am tired because I did not sleep well",tired
"I feel low on energy",tired
"I need some rest after studying",tired
"I am physically drained",tired
"I feel tired after a busy day",tired
"I am exhausted and want to sleep",tired
"I have no energy to continue",tired
"I feel tired this morning",tired
"I am sleepy and need rest",tired
"I feel worn out after exercise",tired
"I am tired because I stayed up late",tired
"I feel exhausted today",tired
"I need to take a break and rest",tired
"I feel very sleepy",tired
"I am tired from all the work",tired
"I feel drained after my exams",tired
"I am exhausted from studying",tired
"I need more sleep",tired
"I feel tired and weak",tired
"I am running out of energy",tired
"I feel exhausted after a long journey",tired
"I am sleepy and cannot concentrate",tired
"I feel tired after completing my work",tired
"I am physically tired today",tired
"I feel completely worn out",tired
"I am tired and need to recharge",tired

"I feel normal today",neutral
"I feel okay",neutral
"I am doing fine",neutral
"I feel neither happy nor sad",neutral
"My mood is normal",neutral
"I feel calm and ordinary",neutral
"Nothing special happened today",neutral
"I feel balanced today",neutral
"I am feeling neutral",neutral
"I don't feel strongly emotional",neutral
"I feel okay about everything",neutral
"Today feels like a normal day",neutral
"I am calm and relaxed",neutral
"I feel emotionally balanced",neutral
"I am neither excited nor upset",neutral
"I feel fine with my day",neutral
"Everything feels normal",neutral
"I don't have any strong feelings right now",neutral
"I feel stable today",neutral
"My emotions feel balanced",neutral
"I am feeling okay today",neutral
"I feel calm about the situation",neutral
"I am having an ordinary day",neutral
"I feel normal and comfortable",neutral
"Nothing is bothering me",neutral
"I feel peaceful and neutral",neutral
"I am not particularly happy or sad",neutral
"I feel alright today",neutral
"My mood feels steady",neutral
"I feel fine right now",neutral
"Today has been an average day",neutral
"I am calm and focused",neutral
"I don't feel much emotion today",neutral
"I feel emotionally steady",neutral
"Everything is going normally",neutral
"I am okay with how things are",neutral
"I feel relaxed and balanced",neutral
"My day is going normally",neutral
"I feel neither positive nor negative",neutral
"I am feeling steady today",neutral
"I don't have any strong emotional reaction",neutral
"I feel calm today",neutral
"My mood is stable",neutral
"I am doing alright",neutral
"I feel ordinary today",neutral
"Nothing unusual happened today",neutral
"I feel comfortable with my current situation",neutral
"I am feeling fine",neutral
"My emotions are fairly balanced",neutral
"I feel calm and okay",neutral
"I am having a normal day",neutral
"I feel neutral about everything",neutral
